date,gross_return,strategy_return,turnover,trading_cost,equity_exposure,cash_weight,benchmark_return,classic_momentum_return,classic_equity_exposure,equal_weight_return,strategy_nav,classic_momentum_nav,benchmark_nav,equal_weight_nav,strategy_value,classic_momentum_value,benchmark_value,equal_weight_value
2019-08-26,0.0,0.0,0.0,0.0,0.0,1.0,-0.014381579016242485,-0.030008774245813608,1.0000000000000002,-0.020433999539471004,1.0,0.9727733331046055,0.9901248070840574,1.0105034469517478,100000.0,97277.33331046054,99012.48070840574,101050.34469517478
2019-08-27,0.0,0.0,0.0,0.0,0.0,1.0,0.013553165104848386,0.017464213202436518,1.0000000000000002,0.017140688115367952,1.0,0.9897620539915891,1.0035441320688738,1.027824171375452,100000.0,98976.2053991589,100354.41320688739,102782.41713754518
2019-08-28,0.0,0.0,0.0,0.0,0.0,1.0,-0.0037647860202517647,0.015124544667588502,1.0000000000000004,-0.002183156327589253,1.0,1.004731754387469,0.9997660031497553,1.0255802705320645,100000.0,100473.1754387469,99976.60031497553,102558.02705320645
2019-08-29,0.0,0.0,0.0,0.0,0.0,1.0,-0.003258314092011161,-0.023947039348715227,1.0000000000000002,-0.0024348186537807015,1.0,0.9806714035302486,0.9965084514929787,1.0230831685584236,100000.0,98067.14035302486,99650.84514929788,102308.31685584236
2019-08-30,0.0,0.0,0.0,0.0,0.0,1.0,0.002480086750268562,0.015685714370735404,1.0000000000000002,0.008515939635051373,1.0,0.9960539350575723,0.9989798789000571,1.0317956830635042,100000.0,99605.39350575724,99897.98789000571,103179.56830635043
2019-09-02,0.0,-0.0008424710563329496,0.8424710563329274,0.0008424710563329274,0.8424710563329274,0.1575289436670726,0.012825067967859649,0.02941034561088207,1.0,0.010046404175432677,0.999157528943667,1.0253482255346946,1.0117918637454746,1.0421615195220268,99915.7528943667,102534.82255346946,101179.18637454745,104216.15195220268
2019-09-03,0.001754112895687158,0.0017541128956870544,0.0,0.0,0.8427468960304871,0.15725310396951286,0.001374625810743435,-0.0009946966471989782,1.0,0.0012323317967495306,1.00091016405001,1.0243283150925437,1.0131826989564794,1.0434458082998825,100091.01640500099,102432.83150925438,101318.26989564794,104344.58082998825
2019-09-04,0.00028501004571177034,0.00028501004571168664,0.0,0.0,0.8427917019746939,0.15720829802530611,0.00840510586177623,-0.022446419992123934,1.0,0.0030494267145650955,1.001195433501619,1.0013358115221518,1.0216986067985288,1.0466277198229132,100119.54335016191,100133.58115221518,102169.86067985288,104662.77198229132
2019-09-05,0.007714734607097521,0.007714734607097595,0.0,0.0,0.843995237316242,0.15600476268375796,0.010118373648996482,0.013687710624898708,1.0,0.010317297776848644,1.0089193905609222,1.015041806348615,1.0320365350587755,1.0574260896698304,100891.93905609222,101504.1806348615,103203.65350587755,105742.60896698304
2019-09-06,0.0050703087731752685,0.005070308773175158,0.0,0.0,0.8447822392901222,0.1552177607098778,0.0059077985998594595,0.004019403689660583,1.0,0.00515693480759305,1.0140349233983097,1.0191216691302125,1.0381335990555995,1.0628791670781057,101403.49233983098,101912.16691302125,103813.35990555995,106287.91670781057
2019-09-09,0.006315641413826079,0.006315641413826123,0.0,0.0,0.8457563866424613,0.15424361335753867,0.006189676612190276,-0.006966304632124998,1.0,0.009316981157809767,1.02043920435559,1.0120221571258519,1.044559310314003,1.0727819922508008,102043.920435559,101202.21571258518,104455.9310314003,107278.19922508008
2019-09-10,-0.00529153404292494,-0.005291534042924928,0.0,0.0,0.844935859463978,0.15506414053602202,-0.003445802237631912,-0.015907918706740243,1.0,-0.005295962337323323,1.0150395155670073,0.9959229909208739,1.0409599655051838,1.0671005792236818,101503.95155670073,99592.29909208739,104095.99655051838,106710.05792236819
2019-09-11,-0.018024655398382924,-0.01802465539838294,0.0,0.0,0.8420895785332259,0.15791042146677414,-0.007365012653879788,-0.06764913238011727,1.0,-0.01537415330219849,0.9967437780831705,0.9285496646676653,1.0332932821870557,1.0506948113298322,99674.37780831705,92854.96646676653,103329.32821870557,105069.48113298322
2019-09-12,0.013130223466464488,0.01313022346646453,0.0,0.0,0.8441361062880175,0.1558638937119825,0.010757995979746138,0.02952698674611498,0.9999999999999999,0.014234146843600248,1.0098312466282107,0.9559669383094169,1.0444094471627228,1.0656505555621099,100983.12466282106,95596.69383094169,104440.94471627228,106565.05555621098
2019-09-16,0.0007645999798880222,0.000764599979887981,0.0,0.0,0.8442551887675533,0.15574481123244666,-0.003690482783620941,-0.0029448424965459186,0.9999999999999999,-0.001268390999427993,1.0106033635790728,0.9531517662441905,1.0405550720789176,1.0642988939888995,101060.33635790728,95315.17662441905,104055.50720789176,106429.88939888995
2019-09-17,-0.015026731160046101,-0.015026731160046047,0.0,0.0,0.8418791492525741,0.15812085074742588,-0.016802603519197934,-0.00014505681185783548,1.0,-0.021087322393807506,0.9954172985251317,0.9530135050877625,1.023071037762885,1.0418556800879828,99541.72985251318,95301.35050877625,102307.10377628851,104185.56800879828
2019-09-18,0.01362706392384151,0.01362706392384161,0.0,0.0,0.8440049043922269,0.15599509560777314,0.004846808969937388,0.052422873426491545,1.0000000000000002,0.011119310725292708,1.0089819136830314,1.0029732114387153,1.0280296676455973,1.0534403971257922,100898.19136830313,100297.32114387154,102802.96676455974,105344.03971257922
2019-09-19,0.00322058479384749,0.0032205847938475696,0.0,0.0,0.844505687012165,0.155494312987835,0.0036572141746460396,-0.005118010550481333,1.0,0.003608491569590422,1.0122314254915061,0.9978399839607218,1.0317893923180674,1.0572417279178865,101223.14254915061,99783.99839607219,103178.93923180674,105724.17279178865
2019-09-20,0.004184663969073106,0.004184663969073021,0.0,0.0,0.8451536668831026,0.15484633311689744,0.0028717912128795042,0.01585362562272441,1.0,0.004911044408494769,1.0164672738661238,1.0136593654978205,1.0347524760284688,1.062433888994205,101646.72738661237,101365.93654978205,103475.24760284688,106243.3888994205
2019-09-23,-0.010317184683811828,-0.01031718468381182,0.0,0.0,0.8435394343313656,0.15646056566863442,-0.011431402690788128,-0.013614550626153576,1.0,-0.01406909645283172,1.0059801932765962,0.9998588487485758,1.0229238037896973,1.0474864041351886,100598.01932765961,99985.88487485758,102292.38037896973,104748.64041351885
