signal_date,trade_date,rank,ticker,momentum_return,return_20d,target_weight,eligible_stocks,selected_stocks,lookback_days,strategy_variant,momentum_target_weight,blended_target_weight,scaled_target_weight,executed_weight
2019-07-31,2019-08-01,1,000858,2.291695988740323,2.291695988740323,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0,0.0
2019-07-31,2019-08-01,2,002475,0.8552472858866107,0.8552472858866107,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0,0.0
2019-07-31,2019-08-01,3,601888,0.7893603273745422,0.7893603273745422,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0,0.0
2019-07-31,2019-08-01,4,601899,0.7745098039215685,0.7745098039215685,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0,0.0
2019-07-31,2019-08-01,5,600519,0.7735952262555943,0.7735952262555943,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0,0.0
2019-07-31,2019-08-01,6,600309,0.6892511462047886,0.6892511462047886,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0,0.0
2019-08-30,2019-09-02,1,000858,1.6852982620948804,1.6852982620948804,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.07161003978829883,0.07161003978829883
2019-08-30,2019-09-02,2,600519,0.9036877291352168,0.9036877291352168,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.07161003978829883,0.07161003978829883
2019-08-30,2019-09-02,3,601888,0.707250872431175,0.707250872431175,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.07161003978829883,0.07161003978829883
2019-08-30,2019-09-02,4,002475,0.6020036429872495,0.6020036429872495,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.07161003978829883,0.07161003978829883
2019-08-30,2019-09-02,5,000651,0.4656972408650262,0.4656972408650262,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.07161003978829883,0.07161003978829883
2019-08-30,2019-09-02,6,600276,0.3954802259887007,0.3954802259887007,0.16666666666666666,20,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.07161003978829883,0.07161003978829883
2019-09-30,2019-10-08,1,002475,0.43121301775147947,0.43121301775147947,0.16666666666666666,19,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0797952379152488,0.0797952379152488
2019-09-30,2019-10-08,2,600519,0.421998722860792,0.421998722860792,0.16666666666666666,19,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0797952379152488,0.0797952379152488
2019-09-30,2019-10-08,3,000858,0.40333606781514897,0.40333606781514897,0.16666666666666666,19,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0797952379152488,0.0797952379152488
2019-09-30,2019-10-08,4,601888,0.3352042407234175,0.3352042407234175,0.16666666666666666,19,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0797952379152488,0.0797952379152488
2019-09-30,2019-10-08,5,600276,0.26864289022695687,0.26864289022695687,0.16666666666666666,19,6,120,risk_controlled_core_satellite,0.16666666666666666,0.08499999999999999,0.0797952379152488,0.0797952379152488
