series,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio_rf_0,downside_deviation,sortino_ratio_rf_0,calmar_ratio,worst_day,value_at_risk_95,conditional_value_at_risk_95,trading_days,average_equity_exposure
strategy,1.0810240319887594,0.11023403908017038,0.1567324337062651,-0.28992105764183707,0.7459462249225753,0.10984406424208393,1.0643630864609221,0.3802208779755191,-0.07796140074219104,-0.013799277775090463,-0.023345287043280177,1696.0,0.6918477069540907
classic_momentum_20_10,2.233867478753031,0.1823106188641055,0.37086803373792954,-0.5922968511581588,0.6366915384167303,0.2484900827201338,0.9502533717457612,0.3078027825196453,-0.09754264638798338,-0.03670062074998259,-0.052534074498414206,1696.0,1.0
000300,0.19620241516299397,0.02589247986694021,0.18355675078406955,-0.45602577259234145,0.2311307209820816,0.12925359325666613,0.32823539431978,0.056778545036502724,-0.07880816204200902,-0.01754955272978101,-0.02719305408716653,1696.0,1.0
universe_equal_weight,2.5739175483899728,0.1992989743466418,0.2568432824723213,-0.4300963065306571,0.8364073315470677,0.17526565782403625,1.2257141940159508,0.4633822037540232,-0.08941507644036706,-0.02338519586909979,-0.03659499629183516,1696.0,1.0
