period,series,start_date,end_date,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio_rf_0,downside_deviation,sortino_ratio_rf_0,calmar_ratio,worst_day,value_at_risk_95,conditional_value_at_risk_95,trading_days
full_sample,strategy,2019-08-01,2026-07-30,1.0810240319887594,0.11023403908017038,0.1567324337062651,-0.28992105764183707,0.7459462249225753,0.10984406424208393,1.0643630864609221,0.3802208779755191,-0.07796140074219104,-0.013799277775090463,-0.023345287043280177,1696.0
full_sample,classic_momentum_20_10,2019-08-01,2026-07-30,2.233867478753031,0.1823106188641055,0.37086803373792954,-0.5922968511581588,0.6366915384167303,0.2484900827201338,0.9502533717457612,0.3078027825196453,-0.09754264638798338,-0.03670062074998259,-0.052534074498414206,1696.0
full_sample,000300,2019-08-01,2026-07-30,0.19620241516299397,0.02589247986694021,0.18355675078406955,-0.45602577259234145,0.2311307209820816,0.12925359325666613,0.32823539431978,0.056778545036502724,-0.07880816204200902,-0.01754955272978101,-0.02719305408716653,1696.0
full_sample,universe_equal_weight,2019-08-01,2026-07-30,2.5739175483899728,0.1992989743466418,0.2568432824723213,-0.4300963065306571,0.8364073315470677,0.17526565782403625,1.2257141940159508,0.4633822037540232,-0.08941507644036706,-0.02338519586909979,-0.03659499629183516,1696.0
first_half,strategy,2019-08-01,2023-02-01,0.9241102993914023,0.20534895698036282,0.17283752340463357,-0.24030735701669326,1.1677143815631936,0.12067793350369914,1.672425570223815,0.8545263013570491,-0.07796140074219104,-0.01528043901751841,-0.026564018839176296,848.0
first_half,classic_momentum_20_10,2019-08-01,2023-02-01,1.2769190898532994,0.26467494209170894,0.44029669781976066,-0.5922968511581588,0.7531674374256572,0.2957623140621852,1.121228499497621,0.4468619773584341,-0.09754264638798338,-0.04261769015490642,-0.06135486485637773,848.0
first_half,000300,2019-08-01,2023-02-01,0.1031847234236094,0.028420776579191065,0.1938534598445542,-0.39585586081973634,0.2417816307581753,0.14055547995369258,0.3334640930739423,0.07179577061291315,-0.07880816204200902,-0.019417924169921906,-0.029643992233559763,848.0
first_half,universe_equal_weight,2019-08-01,2023-02-01,1.5722581606082806,0.30946677472638373,0.2916396601919269,-0.37780715253573305,1.07100511743804,0.20025156889564472,1.5597758870803935,0.8191130650897731,-0.08050268300645058,-0.028324199701365814,-0.04255542035097755,848.0
second_half,strategy,2023-02-02,2026-07-30,0.08155131888592293,0.02262470498188751,0.1386601907994924,-0.1758465632672157,0.23080216862786826,0.09781755089816396,0.3271710694555688,0.12866162728188837,-0.0678056191079498,-0.013114031551134536,-0.01969710015984893,848.0
second_half,classic_momentum_20_10,2023-02-02,2026-07-30,0.4202821229635276,0.10531042638263699,0.2851525177803919,-0.30959316641012624,0.4932095406038291,0.18978750222577662,0.7410390075590068,0.34015746408022934,-0.07640123004738475,-0.026121719832881356,-0.03966265806940779,848.0
second_half,000300,2023-02-02,2026-07-30,0.08431742188263502,0.023370398785889535,0.17276172459863468,-0.24440644320342353,0.21984616522327724,0.11686376596065397,0.32500238494074646,0.09562104206245481,-0.07051526044970757,-0.015500628763851327,-0.023987372768974252,848.0
second_half,universe_equal_weight,2023-02-02,2026-07-30,0.3894085761379502,0.09839978961623297,0.21652354309031202,-0.2970091982449754,0.5417592879244357,0.14606646014680164,0.8030840235711146,0.33130216234943705,-0.08941507644036706,-0.01963735041677217,-0.028214318813923826,848.0
